frame,passer,receiver
6809,5624,5644
6816,5644,5610
6824,5624,5610
6832,5624,5610
6839,5610,5624
6853,5664,5624
6913,5610,5681
6941,5681,5689
6946,5681,5704
6959,5704,5681
6964,5681,5723
6972,5723,5681
6979,5681,5726
6991,5726,5750
6995,5726,5750
7019,5726,5681
7027,5681,5706
7031,5706,5802
7042,5802,5681
7093,5681,5802
7112,5802,5681
7118,5681,5802
7124,5802,5874
7150,5874,5889
7166,5889,5681
7190,5681,5887
7225,5681,5945
7245,5945,5681
7272,5681,5962
7290,5962,5927
7299,5681,5927
7328,5927,5916
7331,5916,5927
7344,5916,5927
7348,5927,5916
7352,5916,5970
7359,5916,5927
7366,5916,5927
7372,5916,5927
7385,5927,5916
7390,5916,5681
7402,5961,5681
7407,5961,5681
7416,5961,5916
7419,5916,5961
7424,5916,5681
7429,6000,5681
7466,5681,6056
7471,6056,5681
7479,5681,6074
7488,6074,6082
7496,6082,5681
7525,5681,6000
7542,6085,5681
7550,5681,6085
7555,5681,6149
7558,6149,5681
7561,5681,6149
7590,6149,6212
7630,6172,6240
7647,6240,6244
7657,6244,6149
7680,6149,6253
7687,6253,6270
7698,6270,5681
8117,5681,6376
8125,6412,6393
8150,6393,6412
8160,6412,6393
8175,6393,6412
8218,6412,6512
8224,6512,6412
8227,6412,6512
8230,6512,6412
8235,6512,6412
8280,6412,6552
8398,6552,6639
8401,6639,6636
8409,6633,6658
8415,6660,6552
8420,6660,6552
8461,6552,6744
8534,6744,6823
8626,6823,6836
8660,6823,6899
8668,6899,6902
8940,6916,6947
9074,6947,6996
9078,7004,7013
9193,7026,7033
9203,7026,7093
9213,7026,7063
9217,7063,7033
9226,7063,7014
9233,7041,7014
9237,7022,7014
9244,7034,7014
9262,7034,7199
9274,7034,7192
9295,7034,7022
9326,7022,7254
9329,7254,7181
9365,7181,7174
9454,7174,7181
9505,7181,7476
9516,7181,7393
9520,7181,7393
9525,7393,7419
9528,7419,7181
9552,7181,7254
9564,7312,7419
9570,7419,7312
9584,7312,7419
9588,7419,7312
9608,7312,7419
9616,7312,7419
9622,7312,7419
9628,7419,7312
9638,7312,7476
9643,7476,7254
9647,7254,7476
9650,7476,7419
9655,7419,7611
9669,7611,7663
9672,7663,7611
9682,7611,7640
9688,7640,7611
9697,7611,7765
9705,7765,7772
9722,7767,7772
9733,7767,7772
9736,7772,7767
9744,7772,7767
9748,7772,7767
9752,7772,7767
9823,7767,7881
9895,7881,7913
9919,7913,7905
9961,7905,7910
9984,7905,7910
9990,7910,7905
10000,7910,7905
10009,7905,7912
10040,7913,7914
10072,7914,8082
10077,8082,7905
10087,7905,7914
10098,7905,7914
10126,7914,7912
10149,8124,7920
10154,8124,7920
10180,7945,8072
10186,8072,7917
10192,8072,7917
10204,8064,8144
10213,8144,8098
10219,8098,8119
10225,8119,8098
10235,8098,8119
10260,8119,8106
10264,8106,8356
10278,8356,8098
10281,8098,8356
10301,8356,8369
10307,8369,8356
10314,8106,8369
10327,8369,8404
10400,8404,8430
10407,8404,8430
10411,8430,8404
10416,8404,8430
10420,8404,8430
10425,8430,8404
10489,8404,8483
10493,8483,8481
10497,8481,8483
10500,8483,8481
10507,8483,8477
10512,8477,8484
10527,8477,8484
10534,8477,8484
10543,8483,8477
10549,8477,8483
10554,8477,8483
10558,8483,8512
10567,8476,8477
10572,8476,8477
10605,8477,8476
10637,8476,8483
10645,8480,8483
10652,8480,8476
